seed,episode_return,episode_length,success_any,success_final,success_fraction,time_to_first_success,min_distance,final_distance,timesteps
203,-1.2220784630605297,50,True,True,0.96,3.0,0.020913397772844122,0.021624192517164652,65000
204,-1.1267473264733054,50,True,True,0.98,2.0,0.019758877894714505,0.021365898239139945,65000
205,-1.6783337219310595,50,True,True,0.94,4.0,0.029892863565289463,0.02989378993013227,65000
201,-1.3723018227535009,50,True,True,0.94,4.0,0.020425156411187258,0.02356162457205807,70000
202,-1.553832872730269,50,True,True,0.96,3.0,0.029531034563191838,0.029535182325469297,70000
203,-1.0643093973950886,50,True,True,0.96,3.0,0.017496650990165917,0.01828608854419762,70000
204,-1.4195444302894313,50,True,True,0.98,2.0,0.027012157743310953,0.027013961868570854,70000
205,-1.7519306286887806,50,True,True,0.96,3.0,0.029767823663438393,0.03200430107547839,70000
201,-0.8150763156380909,50,True,True,0.94,4.0,0.011225077137636414,0.011225081678519233,75000
202,-0.6332676441730253,50,True,True,0.98,2.0,0.010828631237452821,0.010828631237452821,75000
203,-0.8845469311515654,50,True,True,0.96,3.0,0.012292278638905443,0.014766769105091854,75000
204,-0.6730984388678298,50,True,True,0.98,2.0,0.011858368045143662,0.011858374655057418,75000
205,-0.7337696213796598,50,True,True,0.96,3.0,0.01031254745248472,0.010314670478674154,75000
201,-0.8207961198177591,50,True,True,0.94,4.0,0.011146212374529701,0.011151677415293574,80000
202,-0.4908781738636621,50,True,True,0.98,2.0,0.007553789320504781,0.0077891810272948,80000
203,-1.369124098608107,50,True,True,0.96,3.0,0.024657447640022204,0.024658146767507997,80000
204,-0.5433012522204055,50,True,True,0.98,2.0,0.009070640965250773,0.009195840909309467,80000
205,-0.7254432683236449,50,True,True,0.96,3.0,0.010110612244724754,0.010129275212058763,80000
201,-0.8302515096731372,50,True,True,0.94,4.0,0.0044994338953433825,0.01243009985892632,85000
202,-0.6534570283332097,50,True,True,0.98,2.0,0.009921227668392506,0.009924688323183717,85000
203,-0.8105800481826416,50,True,True,0.96,3.0,0.010274703997572184,0.013347844532536549,85000
204,-0.62609900036755,50,True,True,0.98,2.0,0.010971794471481226,0.010974294306974473,85000
205,-0.5103658697424994,50,True,True,0.96,3.0,0.004058265836984899,0.005669430585756366,85000
201,-0.5172113050808779,50,True,True,0.94,4.0,0.0028277284692704435,0.005083451614447275,90000
202,-0.4619166866916984,50,True,True,0.98,2.0,0.006877380413562817,0.006882667339736371,90000
203,-0.6135883697802662,50,True,True,0.96,3.0,0.008504501779112831,0.008747849761123,90000
204,-0.3613938837017901,50,True,True,0.98,2.0,0.005335702639346499,0.00538687300974878,90000
205,-0.41731677826677327,50,True,True,0.96,3.0,0.0024344134633797593,0.0040889053118389985,90000
201,-0.8384553255713421,50,True,True,0.94,4.0,0.011606717943831066,0.011606863579486183,95000
202,-0.6785070711310315,50,True,True,0.98,2.0,0.010718994441496583,0.011800806248095081,95000
203,-0.7752086610589591,50,True,True,0.96,3.0,0.009754774809711214,0.012358266770663245,95000
204,-0.602129894556148,50,True,True,0.98,2.0,0.004448962704784951,0.010926435937507957,95000
205,-0.7333378518681901,50,True,True,0.96,3.0,0.010552333235406212,0.010552491272776842,95000
201,-1.1097181604194937,50,True,True,0.94,4.0,0.017523796370650557,0.017537428770401455,100000
202,-0.7513690999007269,50,True,True,0.98,2.0,0.009948255715869802,0.013713713880028304,100000
203,-1.0292032717535406,50,True,True,0.96,3.0,0.017227581060480193,0.017521357847417558,100000
204,-0.6927682017940556,50,True,True,0.98,2.0,0.012421586327182248,0.01244520800150632,100000
205,-1.021093530810634,50,True,True,0.96,3.0,0.0151401786697032,0.016884705029372345,100000
