#{"t_start": 1789168584.9362738, "env_id": "AdroitHandDoor-v1"}
r,l,t
-43.38819,200,820.097737
-43.618157,200,821.271815
-46.006918,200,822.416777
-46.392754,200,823.583394
3147.794697,200,824.70939
-42.119784,200,825.835303
-44.876017,200,827.010435
-46.612859,200,828.171749
-44.127609,200,829.322171
-48.17606,200,830.488369
-43.405264,200,831.657397
-46.26594,200,832.887307
-47.42113,200,834.070552
-42.806454,200,835.198411
-45.684498,200,836.344623
-46.603605,200,837.565503
-45.741876,200,838.705213
-45.877681,200,839.862266
-45.110389,200,841.097105
-45.599297,200,842.276273
-48.446429,200,843.472382
-42.531399,200,844.673584
-43.859667,200,845.86303
-46.815827,200,847.069071
130.947065,200,848.263596
-43.614443,200,849.452514
-43.516386,200,850.683422
314.957132,200,851.840939
356.889107,200,853.009154
26.796622,200,854.197044
-47.626396,200,855.363921
317.834203,200,856.517784
273.202938,200,857.68385
15.66474,200,858.862502
152.398496,200,860.016825
-47.168098,200,861.218725
30.140458,200,862.390942
-48.085478,200,863.603757
-45.148594,200,864.788218
-46.553555,200,865.970759
-45.603833,200,867.166269
-40.794668,200,868.339988
-48.226856,200,869.518364
-45.401338,200,870.733269
33.316516,200,871.932452
-45.592887,200,873.071976
-45.238596,200,874.273642
115.673544,200,875.438102
-41.48735,200,876.600826
-48.955772,200,877.768705
11.667052,200,878.907558
-42.115337,200,880.075554
-37.670376,200,881.237415
-41.284288,200,882.394036
2042.206522,200,883.552018
-45.009278,200,884.719868
16.156291,200,885.893427
-43.496619,200,887.065347
-40.821976,200,888.233623
46.440229,200,889.421638
33.162193,200,890.583222
-48.088055,200,891.810106
303.930801,200,893.011378
2828.490141,200,894.165968
-45.662454,200,895.44238
-35.414165,200,896.591355
-42.493257,200,897.815814
2650.373028,200,898.961463
92.595208,200,900.139214
-46.509832,200,901.309878
1798.269879,200,902.477176
-44.509782,200,903.640057
2923.432741,200,904.80299
-48.052184,200,906.043483
294.813246,200,907.205767
-48.45549,200,908.374947
-44.723533,200,909.629824
-46.412911,200,910.863396
-46.156149,200,912.043542
-45.159813,200,913.224907
-43.468978,200,914.44058
-44.646528,200,915.671124
-46.392667,200,916.847687
-45.547636,200,918.061743
-48.397849,200,919.232394
