#{"t_start": 1789220522.800371, "env_id": "HandReachDense-v3"}
r,l,t,is_success
-6.149237,50,15.200014,0.0
-5.834773,50,15.234843,0.0
-5.611772,50,15.269692,0.0
-5.619978,50,15.305098,0.0
-5.790504,50,15.339588,0.0
-5.414365,50,15.37442,0.0
-5.587394,50,15.409036,0.0
-6.137024,50,15.557134,0.0
-6.142554,50,15.592316,0.0
-5.146437,50,15.627535,0.0
-5.496313,50,15.66274,0.0
-6.005008,50,15.698467,0.0
-5.184624,50,15.734037,0.0
-5.554996,50,15.769364,0.0
-5.682297,50,15.804896,0.0
-6.609582,50,15.840195,0.0
-6.452909,50,15.875184,0.0
-5.76666,50,15.910064,0.0
-5.27261,50,15.945246,0.0
-6.13084,50,15.980425,0.0
-5.406564,50,16.015573,0.0
-5.615802,50,16.050854,0.0
-4.812209,50,16.085836,0.0
-6.070012,50,16.121666,0.0
-6.032845,50,16.157005,0.0
-5.115353,50,16.192512,0.0
-5.585706,50,16.228065,0.0
-5.221814,50,16.263192,0.0
-6.367166,50,16.298844,0.0
-6.03969,50,16.334308,0.0
-5.708567,50,16.369477,0.0
-6.220949,50,16.404583,0.0
-6.32525,50,16.439809,0.0
-5.526456,50,16.475053,0.0
-5.41447,50,16.510627,0.0
-5.627014,50,16.545665,0.0
-6.48488,50,16.580417,0.0
-6.751464,50,16.615244,0.0
-5.681359,50,16.650662,0.0
-5.897147,50,16.685973,0.0
-5.52963,50,16.721475,0.0
-6.002162,50,16.756755,0.0
-5.343355,50,16.792125,0.0
-5.702269,50,16.827419,0.0
-5.513169,50,16.862469,0.0
-4.86014,50,16.897662,0.0
-5.040688,50,16.9328,0.0
-5.728132,50,16.967899,0.0
-5.654547,50,17.118153,0.0
-5.4059,50,17.153432,0.0
-6.104245,50,17.189018,0.0
-5.89181,50,17.224204,0.0
-5.321709,50,17.259643,0.0
-5.420879,50,17.295476,0.0
-6.050141,50,17.330414,0.0
-5.790406,50,17.365519,0.0
-5.673452,50,17.40082,0.0
-6.17918,50,17.435948,0.0
-5.019282,50,17.470877,0.0
-5.748746,50,17.5061,0.0
-5.996067,50,17.541374,0.0
-4.914826,50,17.576464,0.0
-5.315733,50,17.611611,0.0
-5.547081,50,17.646796,0.0
-5.507721,50,17.682677,0.0
-5.973101,50,17.718549,0.0
-5.878273,50,17.753885,0.0
-5.940414,50,17.7889,0.0
-5.775334,50,17.824463,0.0
-5.610949,50,17.859653,0.0
-5.400603,50,17.895014,0.0
-5.608939,50,17.930077,0.0
-5.887396,50,17.965667,0.0
-4.927471,50,18.000932,0.0
-5.955253,50,18.035832,0.0
-6.290638,50,18.071248,0.0
-5.864173,50,18.106514,0.0
-5.433954,50,18.141591,0.0
-5.635323,50,18.176901,0.0
-6.488666,50,18.212237,0.0
-6.001231,50,18.247165,0.0
-5.611986,50,18.282633,0.0
-4.872493,50,18.317817,0.0
-5.902384,50,18.353132,0.0
-5.601796,50,18.38835,0.0
-4.976154,50,18.42329,0.0
-5.645054,50,18.458502,0.0
-5.566557,50,18.493971,0.0
-5.214508,50,18.52922,0.0
-6.351953,50,18.678171,0.0
-5.436358,50,18.713685,0.0
-6.20899,50,18.749043,0.0
-5.651444,50,18.784349,0.0
-6.099736,50,18.819474,0.0
-5.463782,50,18.854815,0.0
-5.575738,50,18.889991,0.0
-6.312118,50,18.924665,0.0
-5.041115,50,18.959711,0.0
-5.9715,50,18.994692,0.0
-6.298824,50,19.029899,0.0
-6.386676,50,19.065035,0.0
-5.979442,50,19.100314,0.0
-5.377262,50,19.135504,0.0
-5.257737,50,19.169848,0.0
-5.657503,50,19.205267,0.0
-5.380048,50,19.24069,0.0
-4.65357,50,19.276036,0.0
-5.043583,50,19.311744,0.0
-6.032391,50,19.346682,0.0
-6.575463,50,19.381822,0.0
-4.444928,50,19.417161,0.0
-4.468839,50,19.452405,0.0
-4.372949,50,19.487305,0.0
-4.647508,50,19.52243,0.0
-6.194953,50,19.557163,0.0
-5.722338,50,19.59255,0.0
-5.683408,50,19.627434,0.0
-5.83231,50,19.662292,0.0
-5.320364,50,19.69728,0.0
-5.702511,50,19.732295,0.0
-5.724829,50,19.767194,0.0
-5.518912,50,19.802239,0.0
-5.925109,50,19.837319,0.0
-5.874386,50,19.872337,0.0
-6.12333,50,19.907028,0.0
-5.604025,50,19.942709,0.0
-5.855963,50,19.977963,0.0
-5.896655,50,20.012889,0.0
-5.654964,50,20.047987,0.0
-5.0357,50,20.083852,0.0
-5.507246,50,20.234518,0.0
-5.466201,50,20.270436,0.0
-6.091914,50,20.305667,0.0
-5.500231,50,20.341158,0.0
-4.814831,50,20.376498,0.0
-6.06996,50,20.411628,0.0
-4.921491,50,20.446646,0.0
-4.941819,50,20.482006,0.0
-5.359028,50,20.516907,0.0
-5.772341,50,20.552011,0.0
-5.610846,50,20.586632,0.0
-5.931834,50,20.621845,0.0
-5.457175,50,20.657054,0.0
-5.500566,50,20.691806,0.0
