#{"t_start": 1789218848.1384692, "env_id": "HandReachDense-v3"}
r,l,t,is_success
-6.46576,50,17.906549,0.0
-5.772029,50,17.941795,0.0
-5.971215,50,17.977156,0.0
-6.415305,50,18.01227,0.0
-5.637913,50,18.047323,0.0
-6.195697,50,18.082267,0.0
-6.486387,50,18.11758,0.0
-6.447343,50,18.152922,0.0
-5.50409,50,18.188158,0.0
-5.914346,50,18.223352,0.0
-6.259347,50,18.258723,0.0
-6.003144,50,18.293705,0.0
-6.357563,50,18.328689,0.0
-4.385027,50,18.363358,0.0
-6.590112,50,18.398579,0.0
-5.858767,50,18.433698,0.0
-4.704395,50,18.468357,0.0
-5.698664,50,18.503616,0.0
-5.778068,50,18.538446,0.0
-5.50233,50,18.573271,0.0
-6.187425,50,18.722532,0.0
-5.684299,50,18.758339,0.0
-6.622297,50,18.793854,0.0
-5.990145,50,18.82907,0.0
-6.959647,50,18.864789,0.0
-6.228459,50,18.900495,0.0
-5.618586,50,18.935764,0.0
-6.177611,50,18.971106,0.0
-5.380764,50,19.006219,0.0
-6.014097,50,19.041192,0.0
-6.088319,50,19.076381,0.0
-6.504165,50,19.111096,0.0
-6.538293,50,19.146559,0.0
-5.593007,50,19.181648,0.0
-5.608569,50,19.216763,0.0
-5.892687,50,19.251979,0.0
-5.25696,50,19.287244,0.0
-4.017349,50,19.322201,0.0
-5.035957,50,19.35716,0.0
-6.150607,50,19.392175,0.0
-6.626551,50,19.427702,0.0
-4.164822,50,19.463217,0.0
-4.489204,50,19.498366,0.0
-4.597719,50,19.533743,0.0
-4.937074,50,19.568971,0.0
-6.717181,50,19.604209,0.0
-5.857725,50,19.64023,0.0
-6.333958,50,19.675677,0.0
-5.928577,50,19.710409,0.0
-5.69694,50,19.745924,0.0
-5.564047,50,19.781027,0.0
-5.64971,50,19.816131,0.0
-6.130464,50,19.851637,0.0
-5.970253,50,19.88712,0.0
-6.742222,50,19.921922,0.0
-5.969975,50,19.957276,0.0
-5.370612,50,19.992588,0.0
-6.138849,50,20.027552,0.0
-6.080878,50,20.062723,0.0
-5.87114,50,20.097676,0.0
-4.830431,50,20.132769,0.0
-5.648974,50,20.281771,0.0
-5.623104,50,20.317507,0.0
-6.238797,50,20.352279,0.0
-5.587851,50,20.387632,0.0
-5.079037,50,20.422887,0.0
-5.880873,50,20.458135,0.0
-4.977582,50,20.493056,0.0
-4.653648,50,20.528213,0.0
-5.539252,50,20.563221,0.0
-5.536855,50,20.598523,0.0
-5.708548,50,20.633536,0.0
-5.996428,50,20.668402,0.0
-5.901919,50,20.703752,0.0
-5.926612,50,20.738504,0.0
-5.6374,50,20.773684,0.0
-4.648901,50,20.809197,0.0
-4.899237,50,20.844192,0.0
-5.736337,50,20.879801,0.0
-6.022844,50,20.91539,0.0
-5.544569,50,20.950713,0.0
-6.43135,50,20.986035,0.0
-6.178831,50,21.021342,0.0
-5.34616,50,21.056444,0.0
-6.006336,50,21.091796,0.0
-5.561522,50,21.126817,0.0
-6.123459,50,21.162297,0.0
-6.364323,50,21.196994,0.0
-4.522213,50,21.231978,0.0
-6.263352,50,21.267191,0.0
-6.604578,50,21.302248,0.0
-4.478658,50,21.337371,0.0
-6.796501,50,21.372687,0.0
-6.110676,50,21.407675,0.0
-6.004845,50,21.442655,0.0
-6.241447,50,21.477944,0.0
-6.026965,50,21.513104,0.0
-6.491743,50,21.548749,0.0
-4.733403,50,21.584622,0.0
-5.753101,50,21.620179,0.0
-6.015566,50,21.655966,0.0
-5.802868,50,21.691056,0.0
-6.271653,50,21.84218,0.0
-6.157477,50,21.87798,0.0
-6.02807,50,21.912995,0.0
-5.685159,50,21.94839,0.0
-6.505873,50,21.983645,0.0
-5.274584,50,22.018938,0.0
-6.10495,50,22.054473,0.0
-5.75354,50,22.090719,0.0
-5.590408,50,22.125803,0.0
-5.489604,50,22.161006,0.0
-5.206967,50,22.196223,0.0
-6.290425,50,22.231431,0.0
-5.734928,50,22.266823,0.0
-5.21581,50,22.301869,0.0
-5.860828,50,22.336955,0.0
-6.248647,50,22.37195,0.0
-5.810958,50,22.407161,0.0
-6.131607,50,22.442308,0.0
-5.929585,50,22.477194,0.0
-5.977772,50,22.511884,0.0
