time/fps,time/time_elapsed,time/iterations,rollout/success_rate,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/entropy_loss,train/clip_fraction,train/n_updates,train/value_loss,train/loss,train/approx_kl,train/learning_rate,train/clip_range,train/std,train/explained_variance,train/policy_gradient_loss
1293,535,338,0.0,692224,-4.073444479999999,50.0,-27.06479218006134,0.25517578125,3370,0.017417387524619698,-0.030771970748901367,0.0054369112,3e-05,0.1,0.9374865293502808,0.009624183177947998,-0.02708088034996763
1293,536,339,0.0,694272,-4.027486959999999,50.0,-27.06074278354645,0.244580078125,3380,0.013677769445348532,-0.04089601710438728,0.0049927323,3e-05,0.1,0.9371963739395142,0.012663781642913818,-0.02663041141931899
1293,538,340,0.0,696320,-3.9796241899999996,50.0,-27.055753588676453,0.2611328125,3390,0.011027484328951686,-0.03460622951388359,0.005428061,3e-05,0.1,0.937110424041748,0.086769700050354,-0.02799874829943292
1293,539,341,0.0,698368,-4.03417899,50.0,-27.054570269584655,0.24150390625,3400,0.011690777924377472,-0.03816137835383415,0.0054192115,3e-05,0.1,0.9370349645614624,0.04949033260345459,-0.027653281134553252
1292,541,342,0.0,700416,-4.01451388,50.0,-27.052487301826478,0.24091796875,3410,0.012966996245086192,-0.03670993074774742,0.005278446,3e-05,0.1,0.936937153339386,0.07568442821502686,-0.02780924674589187
1292,543,343,0.0,702464,-4.011835659999999,50.0,-27.051768517494203,0.24052734375,3420,0.015206260641571134,-0.03518906235694885,0.005144539,3e-05,0.1,0.9370261430740356,0.0179557204246521,-0.026524258661083877
1292,545,344,0.0,704512,-4.060046750000001,50.0,-27.050077319145203,0.242529296875,3430,0.013243334472645075,-0.030254682525992393,0.005543789,3e-05,0.1,0.9367059469223022,0.009072065353393555,-0.025410901452414692
1292,546,345,0.0,706560,-4.094164129999999,50.0,-27.0453049659729,0.2525390625,3440,0.013971212971955537,-0.038441937416791916,0.0049740653,3e-05,0.1,0.9366750717163086,0.1110086441040039,-0.027440585201838986
1292,548,346,0.0,708608,-4.066755359999999,50.0,-27.046740698814393,0.22890625,3450,0.01276243154425174,-0.030328325927257538,0.004827708,3e-05,0.1,0.9368007779121399,0.10162323713302612,-0.02499478859244846
1292,549,347,0.0,710656,-4.07635891,50.0,-27.046767902374267,0.23779296875,3460,0.010999953269492834,-0.038027334958314896,0.005313902,3e-05,0.1,0.9366906881332397,0.03303122520446777,-0.026784878928447144
1292,551,348,0.0,712704,-4.04448466,50.0,-27.04420886039734,0.233056640625,3470,0.011730440170504152,-0.043541815131902695,0.0046098484,3e-05,0.1,0.9365683794021606,0.018460392951965332,-0.02661166864563711
1292,553,349,0.0,714752,-4.081001510000001,50.0,-27.041485047340394,0.24052734375,3480,0.013790209882427008,-0.03910062462091446,0.005232887,3e-05,0.1,0.9364748001098633,0.04000920057296753,-0.02551496955566108
1292,554,350,0.0,716800,-4.07510392,50.0,-27.039702939987183,0.243115234375,3490,0.012786772416438908,-0.0316341370344162,0.0048036687,3e-05,0.1,0.9363702535629272,0.006741464138031006,-0.025207745318766683
1292,556,351,0.0,718848,-4.027321579999999,50.0,-27.034434819221495,0.234619140625,3500,0.01680867305258289,-0.036124419420957565,0.005177459,3e-05,0.1,0.93598473072052,-0.053938984870910645,-0.026119936344912276
1292,557,352,0.0,720896,-4.04458996,50.0,-27.02665231227875,0.24599609375,3510,0.011721254815347493,-0.04056217893958092,0.005034724,3e-05,0.1,0.935671329498291,0.06529080867767334,-0.02696013585664332
1292,559,353,0.0,722944,-4.08499602,50.0,-27.02409131526947,0.24296875,3520,0.01374636529944837,-0.03314531221985817,0.005071545,3e-05,0.1,0.9357288479804993,-0.027125120162963867,-0.024810309219174088
1292,561,354,0.0,724992,-4.116437670000001,50.0,-27.023471307754516,0.268408203125,3530,0.01479928488843143,-0.031748149544000626,0.0051859594,3e-05,0.1,0.9356476068496704,-0.024883627891540527,-0.027423304936382918
1292,562,355,0.0,727040,-4.06635267,50.0,-27.020986795425415,0.27724609375,3540,0.018950349558144806,-0.03253621608018875,0.0056178337,3e-05,0.1,0.9355341792106628,0.04501229524612427,-0.027523450553417206
1292,564,356,0.0,729088,-4.0465744,50.0,-27.01748592853546,0.23212890625,3550,0.014474267361219973,-0.0348263680934906,0.005013815,3e-05,0.1,0.9353225827217102,0.07364833354949951,-0.02635551876737736
1292,565,357,0.0,731136,-3.96725224,50.0,-27.0126473903656,0.242724609375,3560,0.008806241932325065,-0.034887298941612244,0.005207572,3e-05,0.1,0.9351043701171875,0.05489528179168701,-0.026095968612935394
1292,567,358,0.0,733184,-3.96958564,50.0,-27.012338066101073,0.25185546875,3570,0.012580716330558062,-0.03418469429016113,0.005581858,3e-05,0.1,0.9352802038192749,0.04857218265533447,-0.02694464101223275
1292,569,359,0.0,735232,-4.019362910000001,50.0,-27.01221830844879,0.25185546875,3580,0.01299865763867274,-0.03436628729104996,0.0054417257,3e-05,0.1,0.9351153373718262,0.04932892322540283,-0.025788437254959717
1292,570,360,0.0,737280,-4.098708319999999,50.0,-27.008271789550783,0.216943359375,3590,0.012751712766475975,-0.04100848361849785,0.0044256086,3e-05,0.1,0.9349611401557922,0.004798173904418945,-0.026085305004380645
1291,572,361,0.0,739328,-4.10293424,50.0,-27.00408058166504,0.268310546875,3600,0.010451611899770796,-0.0375833623111248,0.0056770206,3e-05,0.1,0.9347079992294312,-0.0002645254135131836,-0.027131020341767
1291,573,362,0.0,741376,-4.08602079,50.0,-27.001430463790893,0.262451171875,3610,0.01426296216668561,-0.04087013006210327,0.005755085,3e-05,0.1,0.9347430467605591,0.0446050763130188,-0.026954798155929893
1291,575,363,0.0,743424,-4.014523710000001,50.0,-26.99975938796997,0.233984375,3620,0.012580827821511775,-0.03885586932301521,0.0049000545,3e-05,0.1,0.9345215559005737,0.021090924739837646,-0.026316960051190108
1291,577,364,0.0,745472,-4.01914685,50.0,-26.99534866809845,0.23564453125,3630,0.010878378641791642,-0.04094947129487991,0.0050272485,3e-05,0.1,0.9343522787094116,0.13815295696258545,-0.025972718850243836
1291,578,365,0.0,747520,-4.028724830000001,50.0,-26.991247534751892,0.25283203125,3640,0.011849213135428726,-0.042589858174324036,0.005803024,3e-05,0.1,0.9341461062431335,-0.024701714515686035,-0.028106672363355754
1291,580,366,0.0,749568,-4.05073894,50.0,-26.987575101852418,0.26962890625,3650,0.011944238923024385,-0.044210974127054214,0.005663158,3e-05,0.1,0.934012234210968,0.06041079759597778,-0.027552979835309088
1290,582,367,0.0,751616,-4.01603373,50.0,-26.983723974227907,0.252880859375,3660,0.014988640567753463,-0.03078334778547287,0.005131212,3e-05,0.1,0.9337676763534546,0.08576267957687378,-0.02502258970635012
1290,583,368,0.0,753664,-4.02942104,50.0,-26.978114819526674,0.262060546875,3670,0.010418384964577854,-0.03828468918800354,0.0054893307,3e-05,0.1,0.933563232421875,0.09491002559661865,-0.02747530863271095
1290,585,369,0.0,755712,-4.00920417,50.0,-26.97353813648224,0.245947265625,3680,0.011757291550748051,-0.03183721750974655,0.005528185,3e-05,0.1,0.9333459734916687,0.030807077884674072,-0.02618297190638259
1290,586,370,0.0,757760,-4.0020206,50.0,-26.971064257621766,0.24765625,3690,0.017116485501173884,-0.03393568843603134,0.0052102953,3e-05,0.1,0.9333698153495789,0.08598572015762329,-0.026191593887051567
1290,588,371,0.0,759808,-3.9762001299999996,50.0,-26.970237588882448,0.25537109375,3700,0.015454149025026708,-0.039260026067495346,0.0053536817,3e-05,0.1,0.9332340359687805,0.0696336030960083,-0.027186681341845542
1290,590,372,0.0,761856,-3.995608600000001,50.0,-26.96950511932373,0.236328125,3710,0.011686078377533705,-0.042954687029123306,0.005229461,3e-05,0.1,0.9333802461624146,0.0109824538230896,-0.026386750087840482
1290,591,373,0.0,763904,-3.98533186,50.0,-26.970216870307922,0.25986328125,3720,0.012948829447850585,-0.03810519725084305,0.005359702,3e-05,0.1,0.9332531094551086,0.14483362436294556,-0.027795738517306746
1290,593,374,0.0,765952,-4.060907820000001,50.0,-26.965962266922,0.23896484375,3730,0.00982734402641654,-0.034276675432920456,0.0050159125,3e-05,0.1,0.9330152273178101,0.10829740762710571,-0.025341717421542852
1290,594,375,0.0,768000,-4.0344915299999995,50.0,-26.963314867019655,0.271484375,3740,0.010741444578161462,-0.03804219514131546,0.0054460745,3e-05,0.1,0.9329965710639954,0.03429204225540161,-0.02834035489358939
1290,596,376,0.0,770048,-4.00851688,50.0,-26.9625052690506,0.252685546875,3750,0.010408727457979694,-0.034089140594005585,0.0051899543,3e-05,0.1,0.9329122304916382,0.03660935163497925,-0.02665037023834884
